ft0,st0,e0
-194.0,6.481539369965955,-187.51846063003404
-194.0,6.481539369965955,-187.51846063003404
-194.0,6.481539369965955,-187.51846063003404
-194.0,6.481539369965955,-187.51846063003404
-194.0,6.481539369965955,-187.51846063003404
-194.0,6.481539369965955,-187.51846063003404
-194.0,5.784196064392537,-188.21580393560745
-194.0,5.784196064392537,-188.21580393560745
-194.0,6.515516780842393,-187.4844832191576
-194.0,6.525590732124579,-187.47440926787542
-194.0,6.525590732124579,-187.47440926787542
-193.99999999999997,5.9530257413210155,-188.04697425867894
-194.0,5.785145578745696,-188.2148544212543
-194.0,5.785145578745696,-188.2148544212543
-193.99999999999997,5.5402801808898605,-188.45971981911012
-194.0,6.144451863028756,-187.85554813697124
-194.0,5.95171188076817,-188.04828811923184
-194.0,5.95171188076817,-188.04828811923184
-194.0,5.95171188076817,-188.04828811923184
-194.0,5.95171188076817,-188.04828811923184
-194.0,5.95171188076817,-188.04828811923184
-194.0,5.95171188076817,-188.04828811923184
-194.0,4.7212133406700225,-189.27878665932997
-194.0,4.7212133406700225,-189.27878665932997
-193.99999999999997,4.824456772570268,-189.1755432274297
-193.99999999999997,4.824456772570268,-189.1755432274297
-193.99999999999997,4.824456772570268,-189.1755432274297
-193.99999999999997,4.824456772570268,-189.1755432274297
-193.99999999999997,5.202873888928352,-188.79712611107163
-193.99999999999997,5.202873888928352,-188.79712611107163
-193.99999999999997,5.202873888928352,-188.79712611107163
-193.99999999999997,5.422029707880088,-188.5779702921199
-193.99999999999997,5.422029707880088,-188.5779702921199
-193.99999999999997,5.172980433696982,-188.827019566303
-193.99999999999997,5.172980433696982,-188.827019566303
-193.99999999999997,5.172980433696982,-188.827019566303
-193.99999999999997,5.172980433696982,-188.827019566303
-193.99999999999997,5.528591187814205,-188.47140881218576
-193.99999999999997,7.509404165281983,-186.490595834718
-193.99999999999997,7.509404165281983,-186.490595834718
-194.00000000000003,7.15379341116476,-186.84620658883526
-194.0,6.578163036848181,-187.4218369631518
-194.0,6.578163036848181,-187.4218369631518
-194.0,6.578163036848181,-187.4218369631518
-194.0,6.588236988130366,-187.41176301186962
-193.99999999999997,7.41346560627948,-186.58653439372048
-193.99999999999997,7.028162507760726,-186.97183749223925
-194.0,7.759002409114519,-186.24099759088548
-193.99999999999994,7.876361303587489,-186.12363869641246
-194.0,6.33926772868473,-187.66073227131528
-194.0,6.33926772868473,-187.66073227131528
-194.0,6.33926772868473,-187.66073227131528
-194.0,5.95066985440764,-188.04933014559236
-194.0,5.95066985440764,-188.04933014559236
-194.0,5.95066985440764,-188.04933014559236
-193.99999999999997,6.229129218033324,-187.77087078196664
-193.99999999999997,6.229129218033324,-187.77087078196664
-193.99999999999997,6.229129218033324,-187.77087078196664
-193.99999999999997,6.229129218033324,-187.77087078196664
-194.0,5.474510574648233,-188.52548942535176
-194.0,5.491791228136155,-188.50820877186385
-194.0,5.491791228136155,-188.50820877186385
-194.0,5.491791228136155,-188.50820877186385
-194.0,5.491791228136155,-188.50820877186385
-194.0,5.491791228136155,-188.50820877186385
-193.99999999999997,5.924996187889339,-188.07500381211062
-193.99999999999997,5.924996187889339,-188.07500381211062
-193.99999999999997,5.924996187889339,-188.07500381211062
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.86920612992105,-188.13079387007892
-193.99999999999997,5.786104503837821,-188.21389549616214
-193.99999999999997,5.786104503837821,-188.21389549616214
-193.99999999999997,5.786104503837821,-188.21389549616214
-193.99999999999997,5.786104503837821,-188.21389549616214
-193.99999999999997,5.786104503837821,-188.21389549616214
-193.99999999999997,5.786104503837821,-188.21389549616214
-193.99999999999997,5.786104503837821,-188.21389549616214
-193.99999999999994,5.812744850175709,-188.18725514982424
-193.99999999999997,5.8054848595557935,-188.19451514044417
-194.0,5.522440064948135,-188.47755993505186
-194.0,5.522440064948135,-188.47755993505186
