MCS,ft0,st0,e0,ft1,st1,e1
132,-0.34285714285714286,61.332751965239595,58.24897150983476,-1.4571428571428573,49.048556762780734,46.52327178178456
137,-0.34285714285714286,57.90383088026519,54.991496479109074,-1.4571428571428573,49.048556762780734,46.52327178178456
138,-0.34285714285714286,57.90383088026519,54.991496479109074,-0.8571428571428571,44.96079194698017,42.66989520677402
139,-0.0,61.320901467538704,58.25485639416177,-0.6,44.96079194698017,42.682752349631166
140,-0.0,61.320901467538704,58.25485639416177,-0.6,44.96079194698017,42.682752349631166
141,-0.0,60.72649006968332,57.69016556619916,-0.6,44.96079194698017,42.682752349631166
143,-0.0,52.94196842744671,50.294870006074376,-0.6,44.96079194698017,42.682752349631166
145,-0.0,52.94196842744671,50.294870006074376,-0.6,44.96079194698017,42.682752349631166
147,-0.0,37.59736672241755,35.717498386296676,-0.6,44.96079194698017,42.682752349631166
154,-0.0,37.59736672241755,35.717498386296676,-16.400000000000002,48.819821025129706,45.55882997387322
156,-0.0,37.59736672241755,35.717498386296676,-0.6,48.801763118895295,46.33167496295053
158,-0.0,37.59736672241755,35.717498386296676,-0.6,47.44349646171954,45.04132163863356
163,-0.0,37.59736672241755,35.717498386296676,-0.6,47.44349646171954,45.04132163863356
164,-0.0,37.59736672241755,35.717498386296676,-0.6,39.645071076471,37.63281752264745
165,-0.0,40.34577713057114,38.32848827404259,-0.6,39.645071076471,37.63281752264745
182,-4.08,40.34577713057114,38.12448827404259,-3.3200000000000003,39.5058250710123,37.36453381746169
184,-8.03,40.34577713057114,37.92698827404259,-30.970000000000002,35.4385010366972,32.118075984862344
187,-8.39,42.076604022055214,39.553273820952455,-31.01,35.4385010366972,32.11607598486234
188,-7.550000000000001,42.076604022055214,39.59527382095246,-31.650000000000002,35.451196804701695,32.096136964466616
189,-7.550000000000001,35.88511913039545,33.713363173875685,-31.650000000000002,35.451196804701695,32.096136964466616
190,-7.550000000000001,35.88511913039545,33.713363173875685,-31.650000000000002,35.451196804701695,32.096136964466616
192,-7.550000000000001,35.88511913039545,33.713363173875685,-31.650000000000002,35.451196804701695,32.096136964466616
199,-4.3500000000000005,40.13672089487932,37.91238485013535,-28.650000000000002,35.451196804701695,32.246136964466615
208,-4.3500000000000005,40.13672089487932,37.91238485013535,-28.05,37.32697929024691,34.058130325734574
210,-4.3500000000000005,40.13672089487932,37.91238485013535,-28.05,40.459979924063575,37.0344809278604
