run_id,lambda,seed,fitness,cost,cost_norm,passenger_service,passenger_service_norm,service,service_norm,is_pareto,pareto_label,best_individual,line_edges_count
16,0.15,45,0.6573533404145043,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
17,0.2,42,0.6060150593177162,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
18,0.2,43,0.6268223644737505,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,,"[49, 43, 265, 325, 367, 277]",41
19,0.2,44,0.6060150593177162,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
20,0.2,45,0.6060150593177162,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
21,0.25,42,0.554676778220928,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
22,0.25,43,0.5768725592097137,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,,"[49, 43, 265, 325, 367, 277]",41
23,0.25,44,0.554676778220928,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
24,0.25,45,0.554676778220928,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
25,0.3,42,0.5033384971241398,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
26,0.3,43,0.5269227539456771,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,,"[49, 43, 265, 325, 367, 277]",41
27,0.3,44,0.5033384971241398,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
28,0.3,45,0.5033384971241398,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
29,0.35,42,0.4520002160273517,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
30,0.35,43,0.4769729486816405,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,,"[49, 43, 265, 325, 367, 277]",41
31,0.35,44,0.4941536365086002,30.99744996865996,0.11461300169844038,1225.5301391774735,0.821951057081622,1225.5301391774735,0.821951057081622,True,,"[259, 175, 85, 43, 61, 121]",32
32,0.35,45,0.4769729486816405,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,,"[49, 43, 265, 325, 367, 277]",41
