seed,d,shift,max_iter,T_0,lambda,num_lines,L,covered_demand,travel_cost
10,20,0.2,10000.0,3,0.8,2,8,48.85,-46.53
10,20,0.2,10000.0,3,0.8,2,8,44.1,-47.79
10,20,0.2,10000.0,3,0.8,2,8,43.55,-46.96
10,20,0.2,10000.0,3,0.8,2,8,48.03,-49.81
10,20,0.2,10000.0,3,0.8,2,8,42.88,-54.08
10,20,0.2,10000.0,3,0.8,2,8,43.83,-43.75
10,20,0.2,10000.0,3,0.8500000000000001,2,8,27.27,-45.48
10,20,0.2,10000.0,3,0.8500000000000001,2,8,43.96,-47.73
10,20,0.2,10000.0,3,0.8500000000000001,2,8,32.97,-43.89
10,20,0.2,10000.0,3,0.8500000000000001,2,8,68.93,-55.87
10,20,0.2,10000.0,3,0.8500000000000001,2,8,48.58,-51.19
10,20,0.2,10000.0,3,0.8500000000000001,2,8,37.72,-50.5
10,20,0.2,10000.0,3,0.8500000000000001,2,8,48.71,-47.92
10,20,0.2,10000.0,3,0.8500000000000001,2,8,52.92,-44.47
10,20,0.2,10000.0,3,0.8500000000000001,2,8,37.18,-48.53
10,20,0.2,10000.0,3,0.8500000000000001,2,8,41.93,-47.93
10,20,0.2,10000.0,3,0.9,2,8,38.13,-45.18
10,20,0.2,10000.0,3,0.9,2,8,23.07,-45.48
10,20,0.2,10000.0,3,0.9,2,8,47.76,-47.7
10,20,0.2,10000.0,3,0.9,2,8,37.86,-44.08
10,20,0.2,10000.0,3,0.9,2,8,0.41,-43.42
10,20,0.2,10000.0,3,0.9,2,8,41.38,-51.64
10,20,0.2,10000.0,3,0.9,2,8,27.14,-44.27
10,20,0.2,10000.0,3,0.9,2,8,42.2,-44.57
10,20,0.2,10000.0,3,0.9,2,8,43.28,-44.08
10,20,0.2,10000.0,3,0.9,2,8,26.32,-46.25
10,20,0.2,10000.0,3,0.9500000000000001,2,8,0.81,-44.8
10,20,0.2,10000.0,3,0.9500000000000001,2,8,0.14,-42.79
10,20,0.2,10000.0,3,0.9500000000000001,2,8,32.56,-42.28
10,20,0.2,10000.0,3,0.9500000000000001,2,8,33.11,-45.37
10,20,0.2,10000.0,3,0.9500000000000001,2,8,21.98,-41.62
10,20,0.2,10000.0,3,0.9500000000000001,2,8,0.81,-50.86
10,20,0.2,10000.0,3,0.9500000000000001,2,8,16.82,-44.77
10,20,0.2,10000.0,3,0.9500000000000001,2,8,37.99,-47.19
10,20,0.2,10000.0,3,0.9500000000000001,2,8,21.85,-47.33
10,20,0.2,10000.0,3,0.9500000000000001,2,8,16.55,-45.69
